"entrées et plats composés";"soupes";"-";"Soupe à la tomate et aux vermicelles, déshydratée reconstituée";"21,6";"92,2";"0,63";"4,21";"0,18";"0,72";"3,5";"0,32";"0";"0,099";"-";"-";"0,68";"9,1";"343";"0,05";"0,18";"< 20";"4,8";"0,06";"0";"62";"< 20";"271";"0,08";"< 21";"162";"< 0,25";"0,34";"< 0,8";"-";"< 0,5";"0,02";"0,04";"1,44";"1,04";"0,018";"11";"-"
"entrées et plats composés";"soupes";"-";"Soupe à la volaille et aux vermicelles, déshydratée reconstituée";"21,3";"94,2";"0,75";"3,87";"0,25";"0,31";"3,4";"0,26";"0";"0,081";"-";"-";"0,68";"7,2";"379";"0,02";"0,1";"< 20";"3,5";"0,05";"14";"36";"< 20";"272";"0,1";"< 21";"20,7";"-";"< 0,08";"< 0,8";"-";"< 0,5";"0,28";"< 0,01";"< 0,1";"0,041";"0,025";"-";"0,026"
"entrées et plats composés";"soupes";"-";"Soupe au pistou, préemballée à réchauffer";"31,9";"-";"2";"4,1";"0,5";"< 0,25";"-";"1,5";"0";"0,2";"0,2";"< 0,1";"0,65";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"260";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"entrées et plats composés";"soupes";"-";"Soupe au potiron, déshydratée reconstituée";"38,3";"-";"0,79";"5,61";"1,24";"2,64";"-";"0,76";"0";"0,61";"-";"-";"0,7";"-";"-";"-";"-";"-";"-";"-";"0,01";"0,01";"-";"279";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"entrées et plats composés";"soupes";"-";"Soupe asiatique, avec pâtes, préemballée à réchauffer";"22,3";"-";"0,7";"3,4";"0,5";"0,5";"-";"0,7";"0";"0,2";"-";"-";"0,9";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"360";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"entrées et plats composés";"soupes";"-";"Soupe minestrone, déshydratée reconstituée";"31,3";"91,3";"1,14";"5,53";"0,34";"1,07";"-";"0,79";"0";"0,02";"-";"-";"0,7";"-";"427";"-";"-";"-";"-";"-";"-";"122";"-";"281";"-";"-";"-";"-";"-";"-";"-";"5";"-";"-";"-";"-";"0,06";"18";"-"
"entrées et plats composés";"soupes";"-";"Soupe au cresson, déshydratée reconstituée";"25,1";"-";"0,42";"3,95";"0,8";"0,31";"-";"0,19";"0";"0,42";"-";"-";"0,77";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"308";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"entrées et plats composés";"soupes";"-";"Soupe au cresson, préemballée à réchauffer";"34";"-";"1";"5,4";"0,8";"0,9";"-";"0,6";"0";"0,5";"-";"-";"0,78";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"310";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"0,25";"30";"-"
"entrées et plats composés";"soupes";"-";"Soupe aux légumes avec fromage, préemballée à réchauffer";"50,2";"-";"1,34";"5,09";"2,51";"1,62";"-";"0,93";"0";"1,58";"-";"-";"0,67";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"268";"-";"-";"-";"-";"-";"-";"-";"11";"-";"-";"-";"-";"0,3";"30";"-"
"entrées et plats composés";"soupes";"-";"Soupe aux légumes verts, préemballée à réchauffer";"33,4";"90,9";"1";"3,84";"1,32";"0,81";"3,03";"1,05";"0";"0,64";"0,51";"0,16";"0,7";"24";"423";"0,02";"0,27";"< 20";"7,1";"0,06";"24";"120";"< 20";"280";"0,18";"< 21";"177";"1,52";"0,28";"16,5";"-";"9";"0,17";"0,042";"0,53";"0,22";"0,25";"27,5";"-"
"entrées et plats composés";"soupes";"-";"Soupe aux légumes verts, déshydratée reconstituée";"34,8";"91,8";"0,72";"5,31";"1,07";"1,07";"3,3";"0,54";"0";"0,71";"0,23";"0,075";"0,66";"12";"446";"0,02";"0,11";"< 20";"3";"0,03";"0,01";"0,01";"< 20";"264";"0,09";"< 21";"10,5";"< 0,25";"0,18";"2,82";"-";"6,15";"0,05";"0,014";"0,15";"0,072";"0,033";"7,6";"-"
"entrées et plats composés";"soupes";"-";"Soupe aux pois cassés, préemballée à réchauffer";"56,7";"-";"2,68";"6,25";"1,98";"1,02";"-";"1,6";"0";"0,67";"-";"-";"0,7";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"279";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"entrées et plats composés";"soupes";"-";"Soupe froide type Gaspacho ou Gazpacho";"32,8";"91,1";"0,65";"3,38";"1,62";"2,32";"< 0,35";"1,04";"0";"0,27";"-";"0,16";"0,75";"11";"468";"0,04";"0,11";"< 20";"8,9";"0,06";"25";"210";"< 20";"293";"0,1";"-";"291";"< 0,25";"1,31";"52,6";"-";"1,98";"< 0,01";"0,02";"0,56";"0,093";"0,041";"< 5";"-"
"entrées et plats composés";"soupes";"-";"Soupe aux asperges, préemballée à réchauffer";"133";"-";"4,6";"4,7";"10,4";"2,9";"-";"1";"0";"5,1";"-";"-";"0,98";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"entrées et plats composés";"soupes";"-";"Soupe (aliment moyen)";"37,3";"90,8";"1,22";"4,51";"1,37";"1,62";"2,07";"1,03";"0";"0,58";"0,54";"0,18";"0,75";"26,8";"454";"0,039";"0,26";"16";"7,03";"0,061";"24";"108";"9,39";"296";"0,17";"14,8";"1130";;"0,48";"6,87";;"5,19";"0,049";"0,036";"0,47";"0,22";"0,11";"15,9";"0,22"
"entrées et plats composés";"soupes";"-";"Soupe miso";"17,1";"94,6";"1,38";"2,18";"< 0,5";"0,69";"-";"< 0,5";"0";"< 0,0098";"< 0,0098";"< 0,0098";"1,1";"18";"661";"0,06";"0,19";"70";"6,9";"0,08";"19";"49";"< 20";"438";"0,11";"-";"-";"< 0,25";"0,26";"1,15";"-";"-";"< 0,015";"< 0,01";"< 0,1";"0,068";"< 0,01";"16,5";"1,98"
"entrées et plats composés";"plats composés";"plats de viande sans garniture";"Tripes à la mode de Caen";"117";"74";"20,4";"0,51";"3,68";"traces";"0,3";"0";"0";"1,29";"1,12";"0,18";"1,06";"23";"-";"-";"1,1";"6";"6,4";"-";"-";"42,5";"-";"423";"0,64";"-";"-";"-";"0,47";"-";"-";"0";"0,02";"-";"0,37";"0,42";"0,023";"-";"1,2"
"entrées et plats composés";"plats composés";"plats de viande sans garniture";"Tripes à la mode de Caen, préemballées";"112";"77,9";"18,4";"0,7";"3,62";"0,5";"-";"1,25";"0";"2,1";"-";"-";"1,03";"23,6";"-";"-";"0,9";"-";"6,6";"-";"-";"34,6";"-";"421";"2,1";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"entrées et plats composés";"plats composés";"plats de viande sans garniture";"Tripes à la tomate ou à la provençale";"94,1";"76,6";"15,7";"0,6";"3,2";"< 0,4";"-";"0";"0";"1,64";"1,28";"0,14";"1,23";"-";"751";"-";"-";"-";"-";"-";"-";"-";"-";"492";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"entrées et plats composés";"plats composés";"plats de viande sans garniture";"Blanquette de veau";"113";"75,1";"15,4";"3,1";"4";"0,3";"1,9";"0,8";"0";"2,03";"1,36";"0,26";"0,74";"15";"432";"0,07";"0,92";"< 20";"12";"0,04";"110";"190";"< 20";"295";"3,2";"< 21";"736";"< 0,25";"0,37";"2,55";"-";"< 0,5";"0,062";"0,047";"1,77";"0,33";"0,074";"23,3";"1,59"
"entrées et plats composés";"plats composés";"plats de viande sans garniture";"Boeuf bourguignon";"94,9";"78,4";"8,93";"6,74";"3,3";"1,57";"1,3";"1,25";"0";"0,88";"1,18";"0,44";"0,88";"16,9";"409";"0,053";"1,75";"3,8";"13,3";"0,054";"215";"230";"< 2,58";"354";"2,91";"10";"-";"0,5";"0,6";"-";"-";"0,8";"0,07";"0,1";"2,3";"0,3";"0,23";"11";"0,6"
"entrées et plats composés";"plats composés";"plats de viande sans garniture";"Canard en sauce (poivre vert, chasseur, etc.)";"145";"-";"9,55";"10,2";"7,3";"-";"-";"traces";"0";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"entrées et plats composés";"plats composés";"plats de viande sans garniture";"Lapin à la moutarde";"108";"-";"14,9";"0,5";"5";"0,5";"-";"0,8";"0";"2,1";"-";"-";"1,2";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"480";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"entrées et plats composés";"plats composés";"plats de viande sans garniture";"Coq au vin";"133";"-";"13";"4";"7";"1";"-";"0,9";"0";"1";"3,87";"1,75";"1,05";"14";"-";"0,03";"1,3";"3,3";"16";"0,14";"128";"145";"0,11";"420";"0,21";"-";"0";"0,04";"0,48";"-";"-";"1,5";"0,07";"0,19";"3,7";"0,74";"0,17";"31";"1,4"
